School_ID,School_Name,Spot1_Name,Spot1_Contentful_Id,Matching_Type,Distance_in_KM,Spot2_Name,Spot2_Contentful_Id,Matching_Type,Distance_in_KM,Spot3_Name,Spot3_Contentful_Id,Matching_Type,Distance_in_KM
1oXfw3LpUEEEEGIkyWGUkQ,Kiteboarding Asia Cha-am,"Cha Am, Thailand",2iemxLXA0NSoY3JUd4H7Gi,Distance less than 100km,0.51700354,"Hua Hin, Thailand",7kDyzxYe3PeZhyxaTxXCUq,Distance less than 100km,26.19750628,"Laem Phak Bia, Thailand",6LW90eiyPD0mNjPM8qgwCs,Distance less than 100km,30.5503437
2BWgYspFNuMym06wcO0ocE,Cubakiters,"Varadero, Cuba",4XQkxIK2xGiEFzsghz3mgl,Distance less than 100km,4.892713527,"Varadero 53rd Street, Cuba",59pogQT6zsaa2RE6QZwMlw,Distance less than 100km,6.560408554,"Varadero Marina Palace Beach, Cuba",jU1UfWCxOW7oMvfuxSepV,Distance less than 100km,6.68231174
1VFcLM3kjuwECk2IcGkWwG,St.Kitts Kiteboarding,"North Friars Bay, Saint Kitts and Nevis",3x9cMR0Lp18OxtfF2ETxDD,Distance less than 100km,6.831635891,"Marriott, Saint Kitts and Nevis",3TAAn93DD0vlKOVX39EWmV,Distance less than 100km,8.676818565,"Frigate Bay, Saint Kitts and Nevis",5s7UKNJo0eSwusuXxX9WQi,Distance less than 100km,8.723934637
4wUCXSLyw0AGWcc6mMcu40,Kunduchi Kite School,"Kawe Beach, Tanzania",TAl10ECRTF1K3ShNNQbTx,Distance less than 100km,7.99617907,"White Sands, Tanzania",43b7JUHx52ku98Jtelac3d,Distance less than 100km,12.30886133,"Bahari Beach, Tanzania",4JwbkyViE2dziKD9e7REeZ,Distance less than 100km,18.67295378
1ZDsAqNAgkU6UogsCQuEYG,Mayabari Kitesurfing,"Arte Vida, Spain",IZBQbaDy3TcUdLE67R8JI,Distance less than 100km,1.267194298,"Dos Mares, Spain",7E9mNnQUYYH4HN0JyT5zwu,Distance less than 100km,1.521966235,"Los Lances, Spain",69krNBgMDRnWKQ4BA87KPz,Distance less than 100km,2.41637006
3bSHBRBwUUoQWyEugOaOCe,Kitepoint Sao Seba,"Sao Sebastiao, Brazil",2RJBmJyuEDg7qf8vqUvzjq,Distance less than 100km,0.076416579,"Ilhabela / Pereque, Brazil",5roLdbgvV6nUl97eFZtSgI,Distance less than 100km,5.123596175,"Ilhabela / Siriuba, Brazil",kOQYlkg135fN48PHr9XCE,Distance less than 100km,6.329759301
5eZ2DN69zOs0EgeieceW2C,Kite Zone Dubai,"NessNass Beach, United Arab Emirates",5Q2QnCUsikyOSvcxtb0avj,Distance less than 100km,0.508087626,"Wollongong Beach, United Arab Emirates",3oR2P9Qt2SXfEFvGrkru9L,Distance less than 100km,5.027341561,"Jebel Ali Beach, United Arab Emirates",QCcpCdLfKGe6NRQa2i7vD,Distance less than 100km,18.01000312
vgG1leJafuKYWauY08ggw,Bora Kite School,"El Zapillo, Spain",3aVA8ZgLRA4ksXKpL1CbEd,Distance less than 100km,1.546125602,"El Rosita, Spain",6Ezrk3RJsaIIPwnlIt2krR,Distance less than 100km,2.994422146,"Retamar, Spain",J4FxrXVUmuBs4FYdQNeOL,Distance less than 100km,13.55160033
2OpXcKmAIo4ecmSgqaumKi,Guyakite,,,,,,,,,,,,
1BwqgTLtH6QuSY8wegYkKy,Caribean Kite School,"Grande Anse, Guadeloupe",1MeoLKWzBW46TIgsEhqS2k,Distance less than 100km,14.0628105,"Goyave, Guadeloupe",4cjWc7H9ymfL5AkiT8lARa,Distance less than 100km,31.84819483,"Saline, Guadeloupe",1pkxvmMe6xX5B18riBIyfg,Distance less than 100km,40.00128938
1vo7Ycgv8EEO68kASaIeuM,Kitesurf Madagascar Babaomby,"Paillotes de Babaomby, Madagascar",7hVX1CXZILvnjrFMFcnnXR,Distance less than 100km,0.327073656,"Sakalava Bay, Madagascar",E7cGcTqDMgoQke3gmHI7P,Distance less than 100km,9.554515022,"Mantasaly, Madagascar",6BfIHqHqSDYxj2ocq3x8zO,Distance less than 100km,11.89909715
P0haRZdAqqGm2i0yySQi8,Sensei de Kite,"Mojacar, Spain",40d2AcQw6Bu8EnPsxfsKjs,Distance less than 100km,2.01884179,"Chris Lefts, Spain",3yUwasXnkBeTZjAMLzfjDO,Distance less than 100km,5.907064514,"Puerto del Rey, Spain",5qFIVzwA8hWLFDYNZcGb3D,Distance less than 100km,6.784562262
5PZoHssAusueqgQ8EIW26g,Kite Boarding Asia Chumphon,"Pak Nang Tak, Thailand",1lXdjmoanqeRiaombOjNq1,Distance less than 100km,6.986424629,"Tung Wua Laen Beach, Thailand",7o0lItgTDH1YhlxGdzJqPH,Distance less than 100km,13.41235969,"Bang Saphan Noi, Thailand",5n1oIlnkMyJFgbV49HxivL,Distance less than 100km,74.53952148
bO9VdXMoRqUs6oooAq2UQ,Wh?únau Elements,"Gabella, Italy",1kJzjbL6kZZoWTh2dCEUTb,Distance less than 100km,0.667435158,"Turraxzo, Italy",4K5riwCVZ2BwYhIrJqWpFO,Distance less than 100km,27.58950587,"Le Castella, Italy",3aBm8zK9HCPhJMFp69gJhB,Distance less than 100km,28.76842192
